#                                                     Sat May  9 17:06:41 2020
#          I------------------------------------------------------------------------------------------------------------------------I
#          I                                                                                                                        I
#          I      BC_GALAXEV  ---  MODEL PARAMETERS:   Generic file name for this model = Template11                                I
#          I                                                                                                                        I
#          I      TRACKS: Padova (1994) + S. Charlot (1997). X=0.70, Y=0.28, Z=0.02                                                 I
#          I                                                                                                                        I
#          I      S.F.R.: Exponential with MU9 = 0.865/Gyr      TAU =   0.500 Gyr (does not include processed gas recycling)        I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I      I.M.F.: Lognormal + power law                                                                                     I
#          I                                                                      mass in      number                               I
#          I                                                  from m     to m     segment    of stars      c                        I
#          I                                        lognormal*******     1.00      0.0000      0.0000                               I
#          I                                          x=1.3     1.00*********      2.4749      0.5722                               I
#          I                                                                                                                        I
#          I                                                           totals      1.0000      1.4903  0.6710 Mo/star               I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I      LISTED: Rest frame properties                                                                                     I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I                              (C) 1995-2017 G. Bruzual A. & S. Charlot - All Rights Reserved                            I
#          I------------------------------------------------------------------------------------------------------------------------I
#
#    (1)       (2)       (3)       (4)        (5)       (6)          (7)          (8)          (9)         (10)         (11)           (12)        (13)        (14)        (15)        (16)        (17)
#                                                                                                                      M*_tot=
#log-age-yr    Mbol      Bmag      Vmag      Kmag      M*_liv     M_remnants    M_ret_gas    M_galaxy      SFR/yr    M*_liv+M_rem   M*_tot/Lb   M*_tot/Lv   M*_tot/Lk   M*_liv/Lb   M*_liv/Lv   M*_liv/Lk
  6.480000    2.7669    5.9736    6.2558    6.9847   6.0043E-03   9.0813E-07   0.0000E+00   0.0000E+00   1.9880E-09   6.0052E-03   9.7267E-03  2.2953E-02  1.8046E-01  9.7252E-03  2.2950E-02  1.8044E-01
  6.499999    2.7063    5.8809    6.1612    6.8908   6.2838E-03   1.1575E-06   0.0000E+00   0.0000E+00   1.9874E-09   6.2850E-03   9.3471E-03  2.2018E-02  1.7322E-01  9.3454E-03  2.2014E-02  1.7319E-01
  6.520000    2.6499    5.7901    6.0677    6.7957   6.5751E-03   1.4186E-06   0.0000E+00   0.0000E+00   1.9868E-09   6.5765E-03   8.9955E-03  2.1139E-02  1.6606E-01  8.9935E-03  2.1134E-02  1.6602E-01
  6.539999    2.5981    5.7013    5.9756    6.6976   6.8783E-03   1.6919E-06   0.0000E+00   0.0000E+00   1.9862E-09   6.8800E-03   8.6721E-03  2.0315E-02  1.5872E-01  8.6700E-03  2.0310E-02  1.5868E-01
  6.560000    2.5506    5.6150    5.8849    6.5949   7.1938E-03   1.9781E-06   0.0000E+00   0.0000E+00   1.9855E-09   7.1958E-03   8.3771E-03  1.9545E-02  1.5102E-01  8.3748E-03  1.9539E-02  1.5098E-01
  6.579999    2.5071    5.5302    5.7948    6.4862   7.5221E-03   2.2776E-06   0.0000E+00   0.0000E+00   1.9849E-09   7.5244E-03   8.1010E-03  1.8810E-02  1.4288E-01  8.0985E-03  1.8804E-02  1.4284E-01
  6.600000    2.4668    5.4469    5.7057    6.3746   7.8638E-03   2.5912E-06   0.0000E+00   0.0000E+00   1.9841E-09   7.8664E-03   7.8438E-03  1.8116E-02  1.3478E-01  7.8413E-03  1.8110E-02  1.3473E-01
  6.619999    2.4291    5.3669    5.6201    6.2658   8.2196E-03   2.9224E-06   0.0000E+00   0.0000E+00   1.9834E-09   8.2225E-03   7.6168E-03  1.7501E-02  1.2744E-01  7.6141E-03  1.7495E-02  1.2740E-01
  6.639999    2.3938    5.2923    5.5405    6.1653   8.5899E-03   3.3148E-06   0.0000E+00   0.0000E+00   1.9826E-09   8.5932E-03   7.4311E-03  1.6997E-02  1.2141E-01  7.4283E-03  1.6990E-02  1.2137E-01
  6.660000    2.3609    5.2242    5.4682    6.0748   8.9753E-03   3.8191E-06   0.0000E+00   0.0000E+00   1.9818E-09   8.9792E-03   7.2932E-03  1.6616E-02  1.1672E-01  7.2901E-03  1.6609E-02  1.1667E-01
  6.679999    2.3299    5.1601    5.3998    5.9846   9.3767E-03   4.4565E-06   0.0000E+00   0.0000E+00   1.9809E-09   9.3811E-03   7.1827E-03  1.6300E-02  1.1223E-01  7.1793E-03  1.6292E-02  1.1218E-01
  6.699999    2.3002    5.0977    5.3325    5.8829   9.7947E-03   5.2523E-06   0.0000E+00   0.0000E+00   1.9801E-09   9.8000E-03   7.0844E-03  1.6004E-02  1.0675E-01  7.0806E-03  1.5995E-02  1.0669E-01
  6.720000    2.2711    5.0373    5.2663    5.7620   1.0230E-02   6.2306E-06   0.0000E+00   0.0000E+00   1.9791E-09   1.0237E-02   6.9995E-03  1.5728E-02  9.9757E-02  6.9953E-03  1.5719E-02  9.9696E-02
  6.739999    2.2427    4.9789    5.2009    5.6146   1.0684E-02   7.4116E-06   0.0000E+00   0.0000E+00   1.9781E-09   1.0692E-02   6.9282E-03  1.5468E-02  9.0963E-02  6.9234E-03  1.5457E-02  9.0900E-02
  6.759999    2.2153    4.9226    5.1360    5.4486   1.1157E-02   8.8217E-06   0.0000E+00   0.0000E+00   1.9771E-09   1.1166E-02   6.8692E-03  1.5216E-02  8.1530E-02  6.8638E-03  1.5204E-02  8.1465E-02
  6.780000    2.1895    4.8685    5.0736    5.2904   1.1649E-02   1.0498E-05   0.0000E+00   0.0000E+00   1.9760E-09   1.1660E-02   6.8249E-03  1.5002E-02  7.3594E-02  6.8188E-03  1.4988E-02  7.3528E-02
  6.799999    2.1652    4.8185    5.0165    5.1434   1.2162E-02   1.2457E-05   0.0000E+00   0.0000E+00   1.9749E-09   1.2175E-02   6.8056E-03  1.4862E-02  6.7115E-02  6.7986E-03  1.4847E-02  6.7046E-02
  6.819999    2.1419    4.7724    4.9640    4.9953   1.2697E-02   1.4683E-05   0.0000E+00   0.0000E+00   1.9737E-09   1.2711E-02   6.8098E-03  1.4784E-02  6.1135E-02  6.8019E-03  1.4767E-02  6.1064E-02
  6.839999    2.1197    4.7291    4.9148    4.8436   1.3253E-02   1.7182E-05   0.0000E+00   0.0000E+00   1.9725E-09   1.3271E-02   6.8318E-03  1.4751E-02  5.5504E-02  6.8229E-03  1.4732E-02  5.5432E-02
  6.860000    2.0984    4.6889    4.8691    4.6884   1.3834E-02   2.0088E-05   0.0000E+00   0.0000E+00   1.9712E-09   1.3854E-02   6.8729E-03  1.4764E-02  5.0224E-02  6.8630E-03  1.4742E-02  5.0151E-02
